workflow_id,workflow_name,department,status,priority,sla_hours,elapsed_hours,manual_steps,automated_steps,automation_score,error_count,rework_count,transaction_volume,avg_handling_time_minutes,pending_items,completion_rate,created_at,updated_at,risk_label
WF-1000,Purchase Order Approval,Operations,in_progress,medium,38.58,39.83,5,2,0.219,8,7,69,106.8,124,0.601,2026-06-18,2026-06-19 15:49:34.251852453,high
WF-1001,Compliance Review,Customer Support,completed,low,135.25,100.01,3,3,0.618,4,0,53,55.3,69,0.78,2026-07-12,2026-07-16 04:00:42.424995016,low
WF-1002,Employee Onboarding,HR,in_progress,medium,28.0,30.04,7,5,0.173,7,4,209,56.5,152,0.654,2026-07-16,2026-07-17 06:02:14.400083720,high
WF-1003,Compliance Review,Finance,completed,low,105.83,40.15,3,3,0.639,4,0,116,49.6,66,0.764,2026-06-28,2026-06-29 16:08:52.798908170,medium
WF-1004,Purchase Order Approval,Customer Support,cancelled,medium,135.9,138.49,9,5,0.165,6,5,674,77.4,169,0.514,2026-05-27,2026-06-01 18:29:32.792310567,high
WF-1005,Customer Support Escalation,Finance,open,low,31.56,16.67,6,3,0.486,1,3,177,85.9,124,0.583,2026-06-01,2026-06-01 16:40:22.924317615,high
WF-1006,Order Fulfillment,IT,open,medium,18.96,5.07,4,10,0.741,2,1,27,38.7,41,0.705,2026-08-04,2026-08-04 05:04:14.295441028,high
WF-1007,Customer Support Escalation,Procurement,completed,high,110.02,125.86,10,0,0.429,9,4,171,87.6,154,0.391,2026-07-06,2026-07-11 05:51:27.514843729,medium
WF-1008,Compliance Review,Operations,open,low,82.56,34.82,8,15,0.277,4,6,38,52.8,77,0.702,2026-06-25,2026-06-26 10:49:10.250120712,high
WF-1009,Employee Onboarding,Customer Support,in_progress,low,92.24,87.33,6,9,0.726,2,0,72,48.8,63,0.692,2026-07-14,2026-07-17 15:20:00.453189260,high
WF-1010,Vendor Approval,Compliance,in_progress,medium,117.81,124.44,8,3,0.46,7,4,101,71.3,120,0.57,2026-05-15,2026-05-20 04:26:23.177365767,medium
WF-1011,Invoice Processing,IT,in_progress,medium,142.93,96.31,17,6,0.42,9,3,38,71.2,133,0.472,2026-07-28,2026-08-01 00:18:50.802303160,low
WF-1012,Employee Onboarding,Procurement,open,medium,108.47,86.38,7,4,0.734,3,1,60,72.3,87,0.697,2026-05-18,2026-05-21 14:22:45.745813063,high
WF-1013,Customer Support Escalation,Procurement,in_progress,low,140.29,152.36,10,5,0.126,5,2,53,58.7,138,0.475,2026-06-22,2026-06-28 08:21:44.794554051,medium
WF-1014,Vendor Approval,HR,in_progress,low,163.69,137.85,13,7,0.399,0,4,101,89.1,122,0.592,2026-07-16,2026-07-21 17:50:52.337470430,medium
WF-1015,Compliance Review,IT,open,high,166.19,96.03,7,14,0.793,1,1,85,43.5,67,0.8,2026-07-14,2026-07-18 00:02:00.560594443,medium
WF-1016,Invoice Processing,IT,in_progress,medium,68.4,40.56,13,8,0.617,3,0,83,71.6,92,0.575,2026-07-09,2026-07-10 16:33:31.693833046,high
WF-1017,IT Service Request,HR,in_progress,medium,43.65,21.67,9,15,0.623,3,3,353,59.3,61,0.867,2026-07-28,2026-07-28 21:40:02.689853674,medium
WF-1018,Employee Onboarding,Customer Support,in_progress,high,145.49,124.25,4,2,0.514,5,3,139,61.7,112,0.527,2026-07-24,2026-07-29 04:14:49.510459305,high
WF-1019,Vendor Approval,Operations,in_progress,high,58.18,57.23,10,4,0.299,6,4,127,81.2,132,0.527,2026-07-15,2026-07-17 09:14:02.199651244,high
